Season;Round;CapturedAt;Club;Coach;Role;ClubWeightedVotes;ClubGames;LeagueWeightedVotes;LeagueGames;ClubMV;LeagueMV;RawDelta;Reliability;CurrentFIA
2026-27;3;2026-09-13T12:42:59.356463+00:00;Inter;Cristian Chivu;P;18.510000;3;412.000000;68;6.1700;6.0588;0.11118;0.20000;0.02224
2026-27;3;2026-09-13T12:42:59.356463+00:00;Juventus;Luciano Spalletti;A;49.500000;9;1077.380000;178;5.5000;6.0527;-0.55270;0.42857;-0.23687
2026-27;3;2026-09-13T12:42:59.356463+00:00;Juventus;Luciano Spalletti;C;105.980000;17;2375.500000;396;6.2341;5.9987;0.23538;0.58621;0.13798
2026-27;3;2026-09-13T12:42:59.356463+00:00;Juventus;Luciano Spalletti;D;92.490000;15;2047.530000;346;6.1660;5.9177;0.24828;0.55556;0.13794
2026-27;3;2026-09-13T12:42:59.356463+00:00;Juventus;Luciano Spalletti;P;18.990000;3;412.000000;68;6.3300;6.0588;0.27118;0.20000;0.05424
2026-27;3;2026-09-13T12:42:59.356463+00:00;Lazio;Gennaro Gattuso;A;35.500000;6;1077.380000;178;5.9167;6.0527;-0.13603;0.33333;-0.04534
2026-27;3;2026-09-13T12:42:59.356463+00:00;Lazio;Gennaro Gattuso;C;179.480000;29;2375.500000;396;6.1890;5.9987;0.19023;0.70732;0.13455
2026-27;3;2026-09-13T12:42:59.356463+00:00;Lazio;Gennaro Gattuso;D;110.500000;18;2047.530000;346;6.1389;5.9177;0.22117;0.60000;0.13270
2026-27;3;2026-09-13T12:42:59.356463+00:00;Lazio;Gennaro Gattuso;P;25.520000;4;412.000000;68;6.3800;6.0588;0.32118;0.25000;0.08029
2026-27;3;2026-09-13T12:42:59.356463+00:00;Lecce;Eusebio Di Francesco;A;55.480000;10;1077.380000;178;5.5480;6.0527;-0.50470;0.45455;-0.22941
2026-27;3;2026-09-13T12:42:59.356463+00:00;Lecce;Eusebio Di Francesco;C;96.010000;17;2375.500000;396;5.6476;5.9987;-0.35109;0.58621;-0.20581
