Coach;CoachKey;Role;FIA;Confidence;Stability;SampleVotes;EffectiveVotes;ResidualSD;Clubs;Seasons
Conte;conte;P;0.036;0.6691;0.4626;77;70.8;0.446;Napoli;2024-25 | 2025-26
Conte;conte;D;0.0243;0.91;0.5896;382;353.8;0.543;Napoli;2024-25 | 2025-26
Conte;conte;C;0.0975;0.9128;0.5803;396;366.2;0.573;Napoli;2024-25 | 2025-26
Conte;conte;A;0.0217;0.8122;0.4752;167;151.3;0.709;Napoli;2024-25 | 2025-26
Criscito;criscito;P;-0.0039;0.0278;0.0278;1;1.0;0.0;Genoa;2025-26
Criscito;criscito;D;0.0747;0.125;0.091;5;5.0;0.374;Genoa;2025-26
Criscito;criscito;C;0.0195;0.1463;0.1097;6;6.0;0.334;Genoa;2025-26
Criscito;criscito;A;-0.0343;0.0789;0.0581;3;3.0;0.36;Genoa;2025-26
Cuesta;cuesta;P;-0.0311;0.5205;0.3082;38;38.0;0.689;Parma;2025-26
Cuesta;cuesta;D;-0.0225;0.8478;0.5369;195;195.0;0.579;Parma;2025-26
Cuesta;cuesta;C;-0.0287;0.8554;0.5752;207;207.0;0.487;Parma;2025-26
Cuesta;cuesta;A;-0.034;0.7009;0.4505;82;82.0;0.556;Parma;2025-26
D'Aversa;d aversa;P;-0.0569;0.6447;0.4044;78;63.5;0.594;Empoli | Lecce | Torino;2023-24 | 2024-25 | 2025-26
D'Aversa;d aversa;D;0.0292;0.9026;0.577;395;324.5;0.564;Empoli | Lecce | Torino;2023-24 | 2024-25 | 2025-26
D'Aversa;d aversa;C;0.0215;0.8965;0.6028;375;303.2;0.487;Empoli | Lecce | Torino;2023-24 | 2024-25 | 2025-26
D'Aversa;d aversa;A;-0.0158;0.8571;0.5353;260;209.9;0.601;Empoli | Lecce | Torino;2023-24 | 2024-25 | 2025-26
De Rossi;de rossi;P;-0.0372;0.5677;0.3618;52;46.0;0.569;Genoa | Roma;2023-24 | 2024-25 | 2025-26
De Rossi;de rossi;D;-0.02;0.8614;0.5551;249;217.5;0.552;Genoa | Roma;2023-24 | 2024-25 | 2025-26
De Rossi;de rossi;C;-0.0141;0.8668;0.5631;262;227.9;0.54;Genoa | Roma;2023-24 | 2024-25 | 2025-26
De Rossi;de rossi;A;0.0673;0.7872;0.4779;144;129.5;0.647;Genoa | Roma;2023-24 | 2024-25 | 2025-26
Di Francesco;di francesco;P;0.037;0.7353;0.4435;115;97.2;0.658;Frosinone | Lecce | Venezia;2023-24 | 2024-25 | 2025-26
Di Francesco;di francesco;D;-0.0955;0.9266;0.5933;523;442.0;0.562;Frosinone | Lecce | Venezia;2023-24 | 2024-25 | 2025-26
Di Francesco;di francesco;C;-0.0029;0.9415;0.6309;661;563.8;0.492;Frosinone | Lecce | Venezia;2023-24 | 2024-25 | 2025-26
Di Francesco;di francesco;A;-0.0441;0.8741;0.5544;287;242.9;0.576;Frosinone | Lecce | Venezia;2023-24 | 2024-25 | 2025-26
Dionisi;dionisi;P;0.0187;0.3333;0.2237;25;17.5;0.49;Sassuolo;2023-24
Dionisi;dionisi;D;-0.0706;0.7076;0.4746;121;84.7;0.491;Sassuolo;2023-24
Dionisi;dionisi;C;-0.0559;0.697;0.4511;115;80.5;0.545;Sassuolo;2023-24
Dionisi;dionisi;A;-0.0208;0.6324;0.3918;86;60.2;0.614;Sassuolo;2023-24
Fabregas;fabregas;P;-0.0725;0.6691;0.4728;77;70.8;0.415;Como;2024-25 | 2025-26
Fabregas;fabregas;D;0.0336;0.9114;0.6042;390;359.9;0.508;Como;2024-25 | 2025-26
Fabregas;fabregas;C;0.087;0.9129;0.565;404;366.9;0.616;Como;2024-25 | 2025-26
Fabregas;fabregas;A;-0.0427;0.8347;0.5084;187;176.8;0.642;Como;2024-25 | 2025-26
Fonseca;fonseca;P;0.0223;0.2898;0.2088;17;14.3;0.388;Milan;2024-25
Fonseca;fonseca;D;-0.0463;0.6489;0.392;77;64.7;0.655;Milan;2024-25
Fonseca;fonseca;C;0.0293;0.6658;0.4173;83;69.7;0.595;Milan;2024-25
Fonseca;fonseca;A;-0.01;0.5552;0.3271;52;43.7;0.697;Milan;2024-25
Garcia R.;garcia r;P;-0.0577;0.1935;0.1414;12;8.4;0.368;Napoli;2023-24
Garcia R.;garcia r;D;0.0062;0.5238;0.339;55;38.5;0.545;Napoli;2023-24
Garcia R.;garcia r;C;0.0353;0.5763;0.3598;68;47.6;0.602;Napoli;2023-24
Garcia R.;garcia r;A;0.0308;0.4253;0.2417;37;25.9;0.759;Napoli;2023-24
Gasperini;gasperini;P;-0.0197;0.7353;0.513;115;97.2;0.433;Atalanta | Roma;2023-24 | 2024-25 | 2025-26
Gasperini;gasperini;D;0.0638;0.944;0.6172;700;590.2;0.529;Atalanta | Roma;2023-24 | 2024-25 | 2025-26
Gasperini;gasperini;C;0.0737;0.9295;0.5844;548;461.3;0.59;Atalanta | Roma;2023-24 | 2024-25 | 2025-26
Gasperini;gasperini;A;0.1206;0.8772;0.4883;291;249.9;0.796;Atalanta | Roma;2023-24 | 2024-25 | 2025-26
Giampaolo;giampaolo;P;0.0037;0.4684;0.3044;35;30.8;0.539;Cremonese | Lecce;2024-25 | 2025-26
Giampaolo;giampaolo;D;-0.0358;0.8158;0.5131;175;155.0;0.59;Cremonese | Lecce;2024-25 | 2025-26
Giampaolo;giampaolo;C;-0.0143;0.8271;0.5476;191;167.5;0.51;Cremonese | Lecce;2024-25 | 2025-26
Giampaolo;giampaolo;A;0.0375;0.7119;0.4257;98;86.5;0.672;Cremonese | Lecce;2024-25 | 2025-26
Gilardino;gilardino;P;0.0226;0.6303;0.4487;73;59.7;0.405;Genoa | Pisa;2023-24 | 2024-25 | 2025-26
Gilardino;gilardino;D;-0.0433;0.9026;0.6034;401;324.5;0.496;Genoa | Pisa;2023-24 | 2024-25 | 2025-26
Gilardino;gilardino;C;-0.0025;0.9028;0.586;393;325.3;0.541;Genoa | Pisa;2023-24 | 2024-25 | 2025-26
Gilardino;gilardino;A;-0.0291;0.7843;0.4768;151;127.3;0.645;Genoa | Pisa;2023-24 | 2024-25 | 2025-26
Gotti;gotti;P;-0.0272;0.328;0.2099;22;17.1;0.563;Lecce;2023-24 | 2024-25
Gotti;gotti;D;0.0024;0.7123;0.4097;112;86.7;0.738;Lecce;2023-24 | 2024-25
Gotti;gotti;C;-0.0943;0.6921;0.4634;101;78.7;0.493;Lecce;2023-24 | 2024-25
Gotti;gotti;A;-0.0703;0.6408;0.4077;81;62.4;0.572;Lecce;2023-24 | 2024-25
Grosso;grosso;P;-0.0192;0.5205;0.3123;38;38.0;0.667;Sassuolo;2025-26
Grosso;grosso;D;-0.0462;0.8325;0.5308;174;174.0;0.569;Sassuolo;2025-26
Grosso;grosso;C;0.0307;0.8444;0.5495;190;190.0;0.537;Sassuolo;2025-26
Grosso;grosso;A;0.0439;0.7812;0.4502;125;125.0;0.735;Sassuolo;2025-26
Hiljemark;hiljemark;P;-0.0691;0.3;0.2165;15;15.0;0.386;Pisa;2025-26
Hiljemark;hiljemark;D;-0.1492;0.6667;0.392;70;70.0;0.7;Pisa;2025-26
Hiljemark;hiljemark;C;-0.1771;0.7266;0.497;93;93.0;0.462;Pisa;2025-26
Hiljemark;hiljemark;A;-0.1569;0.5455;0.3528;42;42.0;0.546;Pisa;2025-26
Inzaghi F.;inzaghi f;P;0.0331;0.2424;0.1589;16;11.2;0.526;Salernitana;2023-24
Inzaghi F.;inzaghi f;D;-0.0499;0.6454;0.4297;91;63.7;0.502;Salernitana;2023-24
Inzaghi F.;inzaghi f;C;-0.0155;0.6479;0.4073;92;64.4;0.591;Salernitana;2023-24
Inzaghi F.;inzaghi f;A;-0.0733;0.4186;0.2595;36;25.2;0.613;Salernitana;2023-24
Inzaghi S.;inzaghi s;P;0.0526;0.6285;0.4488;77;59.2;0.401;Inter;2023-24 | 2024-25
Inzaghi S.;inzaghi s;D;0.1464;0.9145;0.6139;487;374.4;0.49;Inter;2023-24 | 2024-25
Inzaghi S.;inzaghi s;C;0.1107;0.8786;0.5654;329;253.4;0.554;Inter;2023-24 | 2024-25
Inzaghi S.;inzaghi s;A;0.0553;0.8294;0.4768;221;170.1;0.739;Inter;2023-24 | 2024-25
Italiano;italiano;P;-0.0167;0.7376;0.5034;116;98.4;0.465;Bologna | Fiorentina;2023-24 | 2024-25 | 2025-26
Italiano;italiano;D;-0.05;0.9285;0.5873;535;454.8;0.581;Bologna | Fiorentina;2023-24 | 2024-25 | 2025-26
Italiano;italiano;C;-0.0102;0.939;0.594;630;538.9;0.581;Bologna | Fiorentina;2023-24 | 2024-25 | 2025-26
Italiano;italiano;A;0.0001;0.8923;0.5531;349;290.0;0.613;Bologna | Fiorentina;2023-24 | 2024-25 | 2025-26
Juric;juric;P;-0.0589;0.5587;0.3604;57;44.3;0.55;Atalanta | Roma | Torino;2023-24 | 2024-25 | 2025-26
Juric;juric;D;0.0221;0.8681;0.5632;298;230.4;0.541;Atalanta | Roma | Torino;2023-24 | 2024-25 | 2025-26
Juric;juric;C;-0.0256;0.8537;0.5427;261;204.3;0.573;Atalanta | Roma | Torino;2023-24 | 2024-25 | 2025-26
Juric;juric;A;-0.0205;0.7804;0.4646;158;124.4;0.68;Atalanta | Roma | Torino;2023-24 | 2024-25 | 2025-26
Liverani;liverani;P;0.0246;0.0909;0.0635;5;3.5;0.431;Salernitana;2023-24
Liverani;liverani;D;-0.135;0.3506;0.2378;27;18.9;0.474;Salernitana;2023-24
Liverani;liverani;C;-0.0309;0.3902;0.2739;32;22.4;0.425;Salernitana;2023-24
Liverani;liverani;A;-0.0284;0.1667;0.1249;10;7.0;0.334;Salernitana;2023-24
Martusciello;martusciello;P;-0.0044;0.0196;0.0196;1;0.7;0.0;Lazio;2023-24
Martusciello;martusciello;D;-0.0184;0.0909;0.0753;5;3.5;0.208;Lazio;2023-24
Martusciello;martusciello;C;0.0303;0.1071;0.0812;6;4.2;0.32;Lazio;2023-24
Martusciello;martusciello;A;0.0261;0.0385;0.0234;2;1.4;0.644;Lazio;2023-24
Mazzarri;mazzarri;P;0.0253;0.2063;0.1491;13;9.1;0.384;Napoli;2023-24
Mazzarri;mazzarri;D;-0.0468;0.537;0.3507;58;40.6;0.532;Napoli;2023-24
Mazzarri;mazzarri;C;-0.0815;0.5652;0.3956;65;45.5;0.429;Napoli;2023-24
Mazzarri;mazzarri;A;-0.0715;0.3976;0.2297;33;23.1;0.731;Napoli;2023-24
Montero;montero;P;0.0003;0.0566;0.0464;3;2.1;0.219;Juventus;2023-24
Montero;montero;D;-0.0175;0.1379;0.0718;8;5.6;0.921;Juventus;2023-24
Montero;montero;C;-0.0656;0.1803;0.115;11;7.7;0.568;Juventus;2023-24
Montero;montero;A;0.0182;0.1379;0.0897;8;5.6;0.538;Juventus;2023-24
Mourinho;mourinho;P;0.0;0.2857;0.2038;20;14.0;0.402;Roma;2023-24
Mourinho;mourinho;D;-0.0263;0.6774;0.4467;105;73.5;0.517;Roma;2023-24
Mourinho;mourinho;C;-0.0465;0.6855;0.4428;109;76.3;0.548;Roma;2023-24
Mourinho;mourinho;A;0.0043;0.5;0.2859;50;35.0;0.749;Roma;2023-24
Nesta;nesta;P;0.0018;0.4266;0.2765;31;26.0;0.543;Monza;2024-25
Nesta;nesta;D;-0.059;0.805;0.5333;172;144.5;0.51;Monza;2024-25
Nesta;nesta;C;-0.1044;0.7642;0.5303;135;113.4;0.441;Monza;2024-25
Nesta;nesta;A;-0.0519;0.6811;0.4389;89;74.8;0.552;Monza;2024-25
Nicola;nicola;P;-0.0301;0.6775;0.4422;85;73.5;0.532;Cagliari | Cremonese | Empoli;2023-24 | 2024-25 | 2025-26
Nicola;nicola;D;0.0131;0.9219;0.5803;476;412.9;0.588;Cagliari | Cremonese | Empoli;2023-24 | 2024-25 | 2025-26
Nicola;nicola;C;-0.0279;0.9133;0.6057;426;368.5;0.508;Cagliari | Cremonese | Empoli;2023-24 | 2024-25 | 2025-26
Nicola;nicola;A;0.0019;0.8656;0.5368;262;225.3;0.613;Cagliari | Cremonese | Empoli;2023-24 | 2024-25 | 2025-26
